Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs AD,75,Before Scaling,KNN,0.6321591650358773,0.047054402069511864,0.6761588810461525,0.05393637776746549,0.5264460743604766,0.07525580209531739,0.749148257530307,0.03179459259685784,0.5921214337678533,0.04720633315082944
NC vs AD,75,Before Scaling,RandomForest,0.7819494921256174,0.044321804409414245,0.8807548059484356,0.0318076150645661,0.8134581764767264,0.10195619127375716,0.7609619473092784,0.07582587134467375,0.7892084125291673,0.053531146717595186
NC vs AD,75,Before Scaling,SVM,0.7888360823781568,0.013444119490808929,0.8644154309044237,0.02116500277955208,0.8183279584797448,0.04349588427075622,0.7618299681455876,0.03856056560064602,0.7968884295895109,0.02619103318289033
NC vs AD,75,Before Scaling,LogisticRegression,0.7561923399496785,0.03665432649899506,0.8283218459974659,0.029920009312935012,0.7554585214223367,0.048175503687057156,0.7652254211543772,0.05963737476878456,0.7584359860755665,0.04491685185033063
NC vs AD,75,After Scaling,NeuralNet,0.4428105488770851,0.040096842016158374,0.43868201310001265,0.03939565489651475,0.34484964096636633,0.2180607640552137,0.5596069741641193,0.22213079194835755,0.3578770799886106,0.1412166495435997
NC vs AD,75,After Scaling,KNN,0.5995061038113876,0.05819154981722481,0.6544977015841592,0.05357832929795181,0.3558164889352933,0.07618738772899303,0.8512938474321248,0.043333128695047234,0.47293628210732275,0.07591680943193593
NC vs AD,75,After Scaling,RandomForest,0.7683906439288044,0.029268185761914384,0.856649990750763,0.02461930546565446,0.8061103430788702,0.07408720642199157,0.740545066375263,0.09411512727056254,0.7794757946155824,0.028412704584950103
NC vs AD,75,After Scaling,SVM,0.7806821358680458,0.04131782756941645,0.8640151013439981,0.027147661804996243,0.7987114779005327,0.046903731178043,0.7655043258196916,0.05813406982484502,0.7864814813745877,0.048645471277131896
NC vs AD,75,After Scaling,LogisticRegression,0.7234367719690618,0.03517264718801818,0.8050132625226656,0.01933532377275825,0.7312009437843621,0.043204519509931,0.7227965579140835,0.06207859104333735,0.7284726362819889,0.042857346384393834
MCI vs AD,75,Before Scaling,NeuralNet,0.5934081346423563,0.2197423882759018,0.5177008579422596,0.08562259100974974,0.5933575379844036,0.3627391260325229,0.40382332643202207,0.36483251604455474,0.6403286236258616,0.2939609459620172
MCI vs AD,75,Before Scaling,KNN,0.7790790088826555,0.04948375896458756,0.6284177966864534,0.05014364483760379,0.9052605603351873,0.040040139185773885,0.2295624568668047,0.09915337615318871,0.8684133350309822,0.033242064633350964
MCI vs AD,75,Before Scaling,RandomForest,0.8223702664796633,0.07273309335704771,0.6258065795814012,0.09617448631377469,0.9922743922743923,0.011485856831324451,0.09815044858523118,0.08332898810876203,0.899625315406922,0.04389513264822858
MCI vs AD,75,Before Scaling,SVM,0.7403225806451612,0.024412814375168405,0.6815202002794475,0.054256072679076096,0.8466017067509604,0.05057115779497067,0.3247508626639061,0.15483093630045003,0.8407138421726034,0.016837361866456662
MCI vs AD,75,Before Scaling,LogisticRegression,0.7662459093034129,0.04422062742494767,0.6577474622380528,0.031275811332263745,0.8903274337602696,0.03659420538494298,0.26589095928226364,0.1252291007727617,0.8601487810435179,0.030374251550212835
MCI vs AD,75,After Scaling,NeuralNet,0.6279803646563814,0.07410769682497878,0.5463962581509628,0.12012691929020741,0.7064612998941358,0.16463095265263558,0.32555693581780537,0.24624736652054907,0.7477288917685486,0.0801076952848526
MCI vs AD,75,After Scaling,KNN,0.7704534829359513,0.048481931151132564,0.6224864696195,0.07557794904070313,0.9058480325644505,0.04887429596682546,0.18385645272601794,0.05523950376362245,0.8640099093400802,0.032846745753439544
MCI vs AD,75,After Scaling,RandomForest,0.8116175783076203,0.06536642775757005,0.6371327698186879,0.05353482174792553,0.981670270028479,0.005915477960242794,0.07523257418909593,0.026238806425290213,0.8932304696559001,0.04093264368559561
MCI vs AD,75,After Scaling,SVM,0.8072463768115942,0.060166561570184254,0.6672909262487459,0.022421917789796974,0.9469036436200614,0.02691480007979192,0.20277984817115252,0.025306760365524376,0.8873405752516303,0.03891495769625697
MCI vs AD,75,After Scaling,LogisticRegression,0.7792192613370734,0.0454303796478214,0.6437421939225962,0.03401585864179212,0.8971039905368261,0.027100294132498537,0.27306556245686675,0.07591169428558296,0.8674563552923289,0.032279450938980214
